CompanyName,ISIN,NSECode,BSECode,Date,MFList,BTTDate,CompanyCode,YearEnding,Months,Quarter,Sales,Expenses,EBIDTA,Interest,Depreciation,Extraordinary,OPM,Tax,PATRAW,PAT,Equity,Reserves,EPS,NPM,Ext_Flag,Q1 EPS Growth,Q1 Sales Growth,Q2 EPS,Q2 EPS Growth,Q2 Sales,Q2 Sales Growth,EPS Rating,TTM1 EPS,TTM1 Sales,TTM2 EPS,TTM2 Sales,TTM3 EPS,TTM3 Sales
Lumax Industries Ltd.,INE162B01018,LUMAXIND,517206.000000,2023-12-31,True,2024-02-01,10620002.000000,2023-12-31,3.000000,3.000000,6597160000.000000,5740297000.000000,856863000.000000,128305000.000000,233335000.000000,0.000000,495223000.000000,131511000.000000,363712000.000000,363712000.000000,93477000.000000,0.000000,3.890925,5.513160,False,67.079490,13.599025,1.710228,-35.027677,6455082000.000000,3.445899,590.175247,-13.054437337801675,11.629627815461125,2993.132993699023,65051.613554467076,-109.45383598444825,-99.02899274844185
FIEM Industries Ltd.,INE737H01014,FIEMIND,532768.000000,2023-12-31,True,2024-02-01,10620029.000000,2023-12-31,3.000000,3.000000,4919428000.000000,4224885000.000000,694543000.000000,4057000.000000,143656000.000000,0.000000,546830000.000000,143843000.000000,402987000.000000,402987000.000000,131598000.000000,0.000000,3.062258,8.191745,False,25.872075,10.421128,3.184729,7.135937,5128371000.000000,-2.690892,5429.081094,51.93438095676608,31.525657162292216,27085.365423291834,10598639.849275362,-101.73907504140654,-99.99739889911397
Subros Ltd.,INE287B01021,SUBROS,517168.000000,2023-12-15,True,2024-02-01,10630002.000000,2023-12-31,3.000000,3.000000,7390700000.000000,6729200000.000000,661500000.000000,38200000.000000,283700000.000000,0.000000,339600000.000000,71700000.000000,267900000.000000,267900000.000000,130500000.000000,0.000000,2.052874,3.624826,False,227.106227,11.473605,2.048276,172.199593,8162100000.000000,16.689779,2564.356117,84.60544717550668,8.970302982213232,12318.285938624615,46218.28350780502,-45.43868945114143,
Suprajit Engineering Ltd.,INE399C01030,SUPRAJIT,532509.000000,2024-02-01,True,2024-02-01,10630007.000000,2023-12-31,3.000000,3.000000,4201590000.000000,3308020000.000000,893570000.000000,59710000.000000,83900000.000000,0.000000,749960000.000000,176740000.000000,573220000.000000,573220000.000000,138430000.000000,0.000000,4.140865,13.642930,False,5.139873,9.890596,4.242289,10.742504,4055540000.000000,0.591563,682.805931,10.089978930458672,1.3714954108582371,3430.719694113635,679.5924252984711,-95.41476590636255,-92.28889584592798
Gabriel India Ltd.,INE524A01029,GABRIEL,505714.000000,2023-12-31,True,2024-02-01,10640001.000000,2023-12-31,3.000000,3.000000,8183400000.000000,7436000000.000000,747400000.000000,9990000.000000,143960000.000000,0.000000,593450000.000000,163820000.000000,429630000.000000,429630000.000000,143640000.000000,0.000000,2.991019,5.250018,False,47.517511,14.801405,3.268727,28.406947,8690310000.000000,7.845512,203.968357,32.38944511476196,10.214180980857037,936.923303513174,5904.661483175432,-83.1802869028065,35.813561390081304
Jamna Auto Industries Ltd.,INE039C01032,JAMNAAUTO,520051.000000,2024-02-01,True,2024-02-01,10650003.000000,2023-12-31,3.000000,3.000000,5942096000.000000,5117642000.000000,824454000.000000,-13223000.000000,111839000.000000,0.000000,725838000.000000,179970000.000000,545868000.000000,545868000.000000,398725000.000000,0.000000,1.369034,9.186455,False,53.488508,5.887401,2.129466,132.887426,6221238000.000000,15.804181,151.287060,48.80468028165503,6.9342341099727935,543.0530307689514,66.83134961063473,-92.40137451224835,13.19308500228778
ZF Commercial Vehicle Control Systems India Ltd.,INE342J01019,ZFCVINDIA,533023.000000,2024-02-01,True,2024-02-01,10660012.000000,2023-12-31,3.000000,3.000000,9169691000.000000,7557680000.000000,1612011000.000000,13811000.000000,261482000.000000,0.000000,1336718000.000000,340551000.000000,996167000.000000,996167000.000000,94838000.000000,0.000000,10.503880,10.863692,False,16.615510,1.698895,11.000949,51.997086,10050468000.000000,24.844951,362.659023,48.28503082125772,17.897440689257973,1588.6910865966038,4708.221964763752,167.1277770885525,-59.4139670413104
Samvardhana Motherson International Ltd.,INE775A01035,MOTHERSON,517334.000000,2024-02-01,True,2024-02-01,10670029.000000,2023-12-31,3.000000,3.000000,22561000000.000000,19446000000.000000,3115000000.000000,762000000.000000,807900000.000000,0.000000,1545100000.000000,344500000.000000,1200600000.000000,1200600000.000000,6776400000.000000,0.000000,0.177174,5.321573,False,-64.010685,10.147687,0.369710,-21.920434,23739600000.000000,21.398510,-3.472339,-38.38896634780756,14.445409805791948,286.82063662881865,641677.4407179658,-321.3355263157895,-83.34855403348554
Shriram Pistons & Rings Ltd.,INE526E01018,SHRIPISTON,,2023-12-31,True,2024-02-01,10670034.000000,2023-12-31,3.000000,3.000000,7270900000.000000,5534700000.000000,1736200000.000000,60900000.000000,227900000.000000,0.000000,1447400000.000000,365800000.000000,1081600000.000000,1081600000.000000,440500000.000000,0.000000,2.455392,14.875738,False,-28.254083,12.293626,2.602724,-21.468914,7728200000.000000,16.386801,75.295853,-17.370857306886755,16.129121615057144,-10.184252138708441,5.7580996844690855,924.8855966979361,443.7155285838692
JBM Auto Ltd.,INE927D01044,JBMA,532605.000000,2024-02-01,True,2024-02-01,10670055.000000,2023-12-31,3.000000,3.000000,12638200000.000000,11717500000.000000,920700000.000000,358900000.000000,274500000.000000,0.000000,287300000.000000,80000000.000000,207300000.000000,207300000.000000,236500000.000000,0.000000,0.876533,1.640265,False,-29.707957,34.978800,0.445666,-72.408377,8152100000.000000,-20.193249,1442.719249,-56.88681678118858,0.8697922181251155,71.69080740715438,34.70358462593922,14658.703988724454,284219.5600830778
Lumax Auto Technologies Ltd.,INE872H01027,LUMAXTECH,532796.000000,2023-12-31,True,2024-02-01,10670065.000000,2023-12-31,3.000000,3.000000,3556489000.000000,3145650000.000000,410839000.000000,78520000.000000,82692000.000000,0.000000,249627000.000000,69797000.000000,179830000.000000,179830000.000000,136315000.000000,0.000000,1.319224,5.056391,False,-0.959944,9.291580,1.603529,0.558492,3541067000.000000,-1.139761,161.472473,-9.993707339450038,1.9882608732744964,-41.82095622476542,72.24073503253288,1729.150667167687,118.7694974699891
Minda Corporation Ltd.,INE842C01021,MINDACORP,538962.000000,2024-02-01,True,2024-02-01,10670088.000000,2023-12-31,3.000000,3.000000,9709100000.000000,8560800000.000000,1148300000.000000,139200000.000000,342100000.000000,0.000000,667000000.000000,223800000.000000,443200000.000000,443200000.000000,478200000.000000,0.000000,0.926809,4.564790,False,8.680726,11.265055,0.998954,-1.342420,9922800000.000000,8.464868,1952.034258,11.779357537084236,9.642736638887142,9784.733839021592,9612.81932650774,-99.13977985602097,-99.28524463315827
Sandhar Technologies Ltd.,INE278H01035,SANDHAR,541163.000000,2023-12-31,True,2024-02-01,10670192.000000,2023-12-31,3.000000,3.000000,6971532000.000000,6253504000.000000,718028000.000000,29397000.000000,221644000.000000,0.000000,466987000.000000,130590000.000000,336397000.000000,336397000.000000,601907000.000000,0.000000,0.558885,4.825295,False,25.694823,15.730378,0.459797,66.536288,6864317000.000000,8.265561,99.947607,37.826623757426795,10.482745079429922,412.50272607576505,5352.080906386108,-123.47147238788752,-79.97217956350906
Happy Forgings Ltd.,INE330T01021,HAPPYFORGE,544057.000000,2023-12-31,True,2024-02-01,10670234.000000,2023-12-31,3.000000,3.000000,3453138000.000000,2468102000.000000,985036000.000000,37785000.000000,170571000.000000,0.000000,776680000.000000,197705000.000000,578975000.000000,578975000.000000,188410000.000000,0.000000,3.072953,16.766634,False,32.247016,16.599641,,,,,97.872820,304.74472088821875,244.76956892912233,,,,
Divgi Torqtransfer Systems Ltd.,INE753U01022,DIVGIITTS,543812.000000,2023-12-31,True,2024-02-01,10670282.000000,2023-12-31,3.000000,3.000000,676760000.000000,501440000.000000,175320000.000000,520000.000000,48420000.000000,0.000000,126380000.000000,32660000.000000,93720000.000000,93720000.000000,152910000.000000,0.000000,0.612910,13.848336,False,-29.974994,3.864453,0.701262,,735340000.000000,,14.216785,67.37261420695259,117.10392611449375,,,,
Apollo Tyres Ltd.,INE438A01022,APOLLOTYRE,500877.000000,2024-02-01,True,2024-02-01,10680001.000000,2023-12-31,3.000000,3.000000,43445880000.000000,35478880000.000000,7967000000.000000,995160000.000000,2278710000.000000,-150180000.000000,4542950000.000000,1586740000.000000,2956210000.000000,2956210000.000000,635100000.000000,0.000000,4.654716,6.804351,False,114.900190,2.069110,5.419997,326.003985,44396770000.000000,3.946095,207.038436,339.56653265557895,40.27033753496155,130.38872927344943,4370.634555613789,-90.90104902306967,-91.64616427623157
Ceat Ltd.,INE482A01020,CEATLTD,500878.000000,2024-02-01,True,2024-02-01,10680003.000000,2023-12-31,3.000000,3.000000,29524200000.000000,25319200000.000000,4205000000.000000,648200000.000000,1273000000.000000,0.000000,2283800000.000000,517200000.000000,1766600000.000000,1766600000.000000,404500000.000000,0.000000,4.367367,5.983566,False,322.530495,8.784819,4.923115,565.797392,30469300000.000000,4.450295,361.247623,662.0373869346733,7.113116583142783,-52.12160979877516,21.83037703463217,-46.04848202353594,32.87747128058235
Goodyear India Ltd.,INE533A01012,GOODYEAR,500168.000000,2023-12-31,True,2024-02-01,10680006.000000,2023-12-31,3.000000,3.000000,5965800000.000000,5515900000.000000,449900000.000000,10300000.000000,138500000.000000,0.000000,301100000.000000,82500000.000000,218600000.000000,218600000.000000,230700000.000000,0.000000,0.947551,3.664219,False,-10.446538,-13.908451,1.644560,40.000000,6945300000.000000,-9.982503,111.393570,24.4092303075769,-7.604429810890786,-17.153511497824734,18.917483105289996,1015.9081057650628,1956.10655597476
JK Tyre & Industries Ltd.,INE573A01042,JKTYRE,530007.000000,2023-12-31,True,2024-02-01,10680007.000000,2023-12-31,3.000000,3.000000,25742100000.000000,22007800000.000000,3734300000.000000,563800000.000000,630900000.000000,-37200000.000000,2502400000.000000,858900000.000000,1643500000.000000,1643500000.000000,521400000.000000,0.000000,3.152091,6.384483,False,189.034553,3.453389,3.654213,398.946493,26835100000.000000,10.976891,256.862354,239.0060581958918,7.528749623049187,340.15326850221015,821.8708210523614,-4.663266274283926,27311.38069779925
TVS Srichakra Ltd.,INE421C01016,TVSSRICHAK,509243.000000,2023-12-31,True,2024-02-01,10680010.000000,2023-12-31,3.000000,3.000000,6793900000.000000,6136300000.000000,657600000.000000,97600000.000000,254000000.000000,-900000.000000,305100000.000000,82600000.000000,222500000.000000,222500000.000000,76600000.000000,0.000000,2.904700,3.274997,False,39.411028,-2.883241,4.832898,3.350084,7050400000.000000,-12.480449,1181.676948,80.46268312815086,-5.466457338799069,610.3014132956233,288.3462481582091,10269.256381798,1475819.9744
MRF Ltd.,INE883A01011,MRF,500290.000000,2024-02-01,True,2024-02-01,10680013.000000,2023-12-31,3.000000,3.000000,61243900000.000000,50083900000.000000,11160000000.000000,776400000.000000,3591200000.000000,0.000000,6792400000.000000,1712200000.000000,5080200000.000000,5080200000.000000,42400000.000000,0.000000,119.816038,8.295030,False,200.212741,9.268497,134.889151,361.271070,61571900000.000000,6.243626,43154.917051,268.46444347510266,9.747225070231995,214859.03366869516,2307272.757615894,-97.25777777777778,-99.98903944901765
Oriental Carbon & Chemicals Ltd.,INE321D01016,OCCL,506579.000000,2023-12-31,True,2024-02-01,10700004.000000,2023-12-31,3.000000,3.000000,885680000.000000,723759000.000000,161921000.000000,25509000.000000,72170000.000000,0.000000,64242000.000000,3650000.000000,60592000.000000,60592000.000000,99901000.000000,0.000000,0.606520,6.841297,False,-41.879292,-14.547760,0.835607,7.457038,957021000.000000,-21.982068,4284.366328,13.001388159023685,-15.99845151272223,21486.479746871697,94.17840064597327,-99.45586450415351,-64.78846251504275
